id,sensor_id,recorded_at,seat_id,status
16130,2c:cf:67:ff:f5:f4,2026-06-25 14:40:15+05:30,Ground_Floor_Workstation_Seat_2,0
16131,2c:cf:67:ff:f5:f4,2026-06-25 14:40:15+05:30,Ground_Floor_Workstation_Seat_3,1
16132,2c:cf:67:ff:f5:f4,2026-06-25 14:40:15+05:30,Ground_Floor_Workstation_Seat_4,0
16133,2c:cf:67:ff:f5:f4,2026-06-25 14:40:33+05:30,Ground_Floor_Workstation_Seat_1,1
16134,2c:cf:67:ff:f5:f4,2026-06-25 14:40:33+05:30,Ground_Floor_Workstation_Seat_2,0
16135,2c:cf:67:ff:f5:f4,2026-06-25 14:40:33+05:30,Ground_Floor_Workstation_Seat_3,1
16136,2c:cf:67:ff:f5:f4,2026-06-25 14:40:33+05:30,Ground_Floor_Workstation_Seat_4,0
16137,2c:cf:67:ff:f5:f4,2026-06-25 14:40:51+05:30,Ground_Floor_Workstation_Seat_1,0
16138,2c:cf:67:ff:f5:f4,2026-06-25 14:40:51+05:30,Ground_Floor_Workstation_Seat_2,0
16139,2c:cf:67:ff:f5:f4,2026-06-25 14:40:51+05:30,Ground_Floor_Workstation_Seat_3,1
16140,2c:cf:67:ff:f5:f4,2026-06-25 14:40:51+05:30,Ground_Floor_Workstation_Seat_4,0
16141,2c:cf:67:ff:f5:f4,2026-06-25 14:41:38+05:30,Ground_Floor_Workstation_Seat_1,0
16142,2c:cf:67:ff:f5:f4,2026-06-25 14:41:38+05:30,Ground_Floor_Workstation_Seat_2,0
16143,2c:cf:67:ff:f5:f4,2026-06-25 14:41:38+05:30,Ground_Floor_Workstation_Seat_3,1
16144,2c:cf:67:ff:f5:f4,2026-06-25 14:41:38+05:30,Ground_Floor_Workstation_Seat_4,0
16145,2c:cf:67:ff:f5:f4,2026-06-25 14:41:56+05:30,Ground_Floor_Workstation_Seat_1,1
16146,2c:cf:67:ff:f5:f4,2026-06-25 14:41:56+05:30,Ground_Floor_Workstation_Seat_2,0
16147,2c:cf:67:ff:f5:f4,2026-06-25 14:41:56+05:30,Ground_Floor_Workstation_Seat_3,1
16148,2c:cf:67:ff:f5:f4,2026-06-25 14:41:56+05:30,Ground_Floor_Workstation_Seat_4,0
16149,2c:cf:67:ff:f5:f4,2026-06-25 14:42:39+05:30,Ground_Floor_Workstation_Seat_1,0
16150,2c:cf:67:ff:f5:f4,2026-06-25 14:42:39+05:30,Ground_Floor_Workstation_Seat_2,0
16151,2c:cf:67:ff:f5:f4,2026-06-25 14:42:39+05:30,Ground_Floor_Workstation_Seat_3,1
16152,2c:cf:67:ff:f5:f4,2026-06-25 14:42:39+05:30,Ground_Floor_Workstation_Seat_4,0
16153,2c:cf:67:ff:f5:f4,2026-06-25 14:42:57+05:30,Ground_Floor_Workstation_Seat_1,0
16154,2c:cf:67:ff:f5:f4,2026-06-25 14:42:57+05:30,Ground_Floor_Workstation_Seat_2,0
16155,2c:cf:67:ff:f5:f4,2026-06-25 14:42:57+05:30,Ground_Floor_Workstation_Seat_3,1
16156,2c:cf:67:ff:f5:f4,2026-06-25 14:42:57+05:30,Ground_Floor_Workstation_Seat_4,0
16157,2c:cf:67:ff:f5:f4,2026-06-25 14:43:38+05:30,Ground_Floor_Workstation_Seat_1,0
16158,2c:cf:67:ff:f5:f4,2026-06-25 14:43:38+05:30,Ground_Floor_Workstation_Seat_2,0
16159,2c:cf:67:ff:f5:f4,2026-06-25 14:43:38+05:30,Ground_Floor_Workstation_Seat_3,1
16160,2c:cf:67:ff:f5:f4,2026-06-25 14:43:38+05:30,Ground_Floor_Workstation_Seat_4,0
12173,2c:cf:67:ff:f5:f4,2026-06-22 21:49:58+05:30,Ground_Floor_Workstation_Seat_1,0
12174,2c:cf:67:ff:f5:f4,2026-06-22 21:49:58+05:30,Ground_Floor_Workstation_Seat_2,0
12175,2c:cf:67:ff:f5:f4,2026-06-22 21:49:58+05:30,Ground_Floor_Workstation_Seat_3,0
12176,2c:cf:67:ff:f5:f4,2026-06-22 21:49:58+05:30,Ground_Floor_Workstation_Seat_4,0
12177,2c:cf:67:ff:f5:f4,2026-06-23 11:09:09+05:30,Ground_Floor_Workstation_Seat_1,0
12178,2c:cf:67:ff:f5:f4,2026-06-23 11:09:09+05:30,Ground_Floor_Workstation_Seat_2,0
12179,2c:cf:67:ff:f5:f4,2026-06-23 11:09:09+05:30,Ground_Floor_Workstation_Seat_3,1
12180,2c:cf:67:ff:f5:f4,2026-06-23 11:09:09+05:30,Ground_Floor_Workstation_Seat_4,0
